date,Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
5/14/2015,0,0,0,1,0,0,0,0,0,0,14454,2213,16667
5/15/2015,0,0,0,0,1,0,0,0,0,0,14418,2287,16705
5/16/2015,0,0,0,0,0,1,0,0,0.3,0,14291,2254,16545
5/17/2015,0,0,0,0,0,0,1,0,0.02,0,11527,1391,12918
5/18/2015,1,0,0,0,0,0,0,0,0,0,13049,1719,14768
5/19/2015,0,1,0,0,0,0,0,0,0,0,14075,2035,16110
5/20/2015,0,0,1,0,0,0,0,0,0,0,14337,2239,16576
5/21/2015,0,0,0,1,0,0,0,0,0,0,14796,2353,17149
5/22/2015,0,0,0,0,1,0,0,0,0,0,13368,1909,15277
5/23/2015,0,0,0,0,0,1,0,0,0,0,10280,1242,11522
5/24/2015,0,0,0,0,0,0,1,0,0,0,8714,1004,9718
5/25/2015,1,0,0,0,0,0,0,0,0,1,8371,867,9238
5/26/2015,0,1,0,0,0,0,0,0,0,0,12797,1627,14424
5/27/2015,0,0,1,0,0,0,0,0,0.08,0,13481,2210,15691
5/28/2015,0,0,0,1,0,0,0,0,0,0,14616,2471,17087
5/29/2015,0,0,0,0,1,0,0,0,0,0,14700,2368,17068
5/30/2015,0,0,0,0,0,1,0,0,0,0,11965,1786,13751
5/31/2015,0,0,0,0,0,0,1,0,1.46,0,8810,1462,10272
6/1/2015,1,0,0,0,0,0,0,0,0.72,0,11798,2008,13806
6/2/2015,0,1,0,0,0,0,0,0,0.37,0,13124,2267,15391
6/3/2015,0,0,1,0,0,0,0,0,0,0,13580,2070,15650
6/4/2015,0,0,0,1,0,0,0,0,0,0,14694,2223,16917
6/5/2015,0,0,0,0,1,0,0,0,0.13,0,15225,2577,17802
6/6/2015,0,0,0,0,0,1,0,0,0.19,0,13574,2044,15618
6/7/2015,0,0,0,0,0,0,1,0,0,0,11443,1672,13115
6/8/2015,1,0,0,0,0,0,0,0,0.06,0,12779,1800,14579
6/9/2015,0,1,0,0,0,0,0,0,0.01,0,13297,1963,15260
6/10/2015,0,0,1,0,0,0,0,0,0,0,14060,2156,16216
6/11/2015,0,0,0,1,0,0,0,0,0,0,14709,2598,17307
6/12/2015,0,0,0,0,1,0,0,0,0,0,14438,2527,16965
6/13/2015,0,0,0,0,0,1,0,0,0,0,12345,1988,14333
6/14/2015,0,0,0,0,0,0,1,0,0.36,0,10720,1462,12182
6/15/2015,1,0,0,0,0,0,0,0,0.57,0,12629,2130,14759
6/16/2015,0,1,0,0,0,0,0,0,0.27,0,13599,2306,15905
6/17/2015,0,0,1,0,0,0,0,0,0,0,14372,2360,16732
6/18/2015,0,0,0,1,0,0,0,0,0,0,14755,2496,17251
6/19/2015,0,0,0,0,1,0,0,0,0,0,14906,2474,17380
6/20/2015,0,0,0,0,0,1,0,0,0,0,11691,1970,13661
6/21/2015,0,0,0,0,0,0,1,0,0.64,0,10155,1386,11541
6/22/2015,1,0,0,0,0,0,0,0,0,0,12321,1747,14068
6/23/2015,0,1,0,0,0,0,0,0,0.02,0,13867,2536,16403
6/24/2015,0,0,1,0,0,0,0,0,0,0,14188,2422,16610
6/25/2015,0,0,0,1,0,0,0,0,0,0,14699,2646,17345
6/26/2015,0,0,0,0,1,0,0,0,0,0,14744,2547,17291
6/27/2015,0,0,0,0,0,1,0,0,1.12,0,13731,2721,16452
6/28/2015,0,0,0,0,0,0,1,0,0.29,0,9995,1597,11592
6/29/2015,1,0,0,0,0,0,0,0,0,0,12079,1809,13888
6/30/2015,0,1,0,0,0,0,0,0,0.04,0,13396,2111,15507
7/1/2015,0,0,1,0,0,0,0,0,0.39,0,13811,2453,16264
7/2/2015,0,0,0,1,0,0,0,0,0,0,12552,2265,14817
7/3/2015,0,0,0,0,1,0,0,0,0,1,8479,1253,9732
7/4/2015,0,0,0,0,0,1,0,0,0,0,7878,1105,8983
7/5/2015,0,0,0,0,0,0,1,0,0,0,8660,1115,9775
7/6/2015,1,0,0,0,0,0,0,0,0,0,10921,1718,12639
7/7/2015,0,1,0,0,0,0,0,0,0.12,0,13080,2123,15203
7/8/2015,0,0,1,0,0,0,0,0,0,0,14138,2429,16567
7/9/2015,0,0,0,1,0,0,0,0,0.3,0,14967,3206,18173
7/10/2015,0,0,0,0,1,0,0,0,0,0,14319,2858,17177
7/11/2015,0,0,0,0,0,1,0,0,0,0,12232,2401,14633
7/12/2015,0,0,0,0,0,0,1,0,0,0,10545,1888,12433
7/13/2015,1,0,0,0,0,0,0,0,0,0,11917,2297,14214
7/14/2015,0,1,0,0,0,0,0,0,0.42,0,13406,2969,16375
7/15/2015,0,0,1,0,0,0,0,0,0.12,0,14295,3343,17638
7/16/2015,0,0,0,1,0,0,0,0,0,0,14306,3432,17738
7/17/2015,0,0,0,0,1,0,0,0,0,0,12995,3452,16447
7/18/2015,0,0,0,0,0,1,0,0,0.32,0,12674,2768,15442
7/19/2015,0,0,0,0,0,0,1,0,0,0,11557,2288,13845
7/20/2015,1,0,0,0,0,0,0,0,0,0,13004,2812,15816
7/21/2015,0,1,0,0,0,0,0,0,0,0,13112,3162,16274
7/22/2015,0,0,1,0,0,0,0,0,0,0,13607,3290,16897
7/23/2015,0,0,0,1,0,0,0,0,0,0,14603,3520,18123
7/24/2015,0,0,0,0,1,0,0,0,0,0,14211,2820,17031
7/25/2015,0,0,0,0,0,1,0,0,0,0,11679,2202,13881
