Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
0,0,0,1,0,0,0,0,0.066006601,0,0.936342593,0.566503083,0.799492063
0,0,0,0,1,0,0,0,0,0,0.888888889,0.639360765,0.810222222
0,0,0,0,0,1,0,0,0.0330033,0,0.731481481,0.694224236,0.751555556
0,0,0,0,0,0,1,0,0.075907591,0,0.499537037,0.418900214,0.485396825
1,0,0,0,0,0,0,0,0,0,0.699768519,0.397634327,0.584507937
0,1,0,0,0,0,0,0,0,0,0.748726852,0.42531773,0.625333333
0,0,1,0,0,0,0,0,0.069306931,0,0.640740741,0.449351957,0.578222222
0,0,0,1,0,0,0,0,0,1,0.216435185,0.131244495,0.184952381
0,0,0,0,1,0,0,0,0,0,0.246064815,0.164212911,0.21784127
0,0,0,0,0,1,0,0,0,0,0.362268519,0.280483201,0.340253968
0,0,0,0,0,0,1,0,0,0,0.331828704,0.250660627,0.308507937
1,0,0,0,0,0,0,0,0,0,0.59837963,0.326412483,0.492952381
0,1,0,0,0,0,0,0,0,0,0.746296296,0.39184598,0.607111111
0,0,1,0,0,0,0,0,0,0,0.783912037,0.435258588,0.649650794
0,0,0,1,0,0,0,0,0.00990099,0,0.938773148,0.555303888,0.795174603
0,0,0,0,1,0,0,0,0,0,0.904513889,0.616710708,0.807365079
0,0,0,0,0,1,0,0,0,0,0.695717593,0.607776519,0.68831746
0,0,0,0,0,0,1,0,0,0,0.500925926,0.399018498,0.476126984
1,0,0,0,0,0,0,0,0,0,0.76400463,0.421794388,0.631936508
0,1,0,0,0,0,0,0,0.247524752,0,0.869791667,0.543349692,0.751301587
0,0,1,0,0,0,0,0,0,0,0.931712963,0.54259469,0.784888889
0,0,0,1,0,0,0,0,0,0,1,0.652321631,0.877714286
0,0,0,0,1,0,0,0,0,0,0.909606481,0.708569271,0.856507937
0,0,0,0,0,1,0,1,0.151815182,0,0.903125,1,1
0,0,0,0,0,0,1,0,0,0,0.483333333,0.445451114,0.489904762
1,0,0,0,0,0,0,0,0,0,0.748726852,0.444570278,0.635047619
0,1,0,0,0,0,0,0,0,0,0.821180556,0.529885491,0.71784127
0,0,1,0,0,0,0,0,0,0,0.956944444,0.631055744,0.843365079
0,0,0,1,0,0,0,0.260869565,0.02970297,0,0.937615741,0.672077514,0.853460317
0,0,0,0,1,0,0,0.260869565,0.03630363,0,0.866319444,0.747451869,0.852380952
0,0,0,0,0,1,0,0,0,0,0.720833333,0.682899207,0.74
0,0,0,0,0,0,1,0,0,0,0.524652778,0.446206116,0.512952381
