Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9062863396949176,0.13049062419727714,0.775494071146245
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9297489568369931,0.14615977395324942,0.8017504234895539
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9378890484985293,0.14885692268173645,0.8096555618294748
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.795745263013886,0.12137169278191624,0.6802371541501976
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6953642384105961,0.0,0.6812367466995007,0.11135371179039301,0.5813099943534726
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5481907107189274,0.0422553300796301,0.44110671936758894
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8025172720432314,0.08643719496532236,0.6704686617730096
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8828237225528422,0.11623426663241716,0.7498588368153586
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9413092550790069,0.14269201130233755,0.8097684923771881
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9645666598262536,0.15270999229386079,0.8333709768492377
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13186813186813187,0.23841059602649006,0.0,0.7968397291196389,0.14320575391728746,0.6907396950875212
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6055133730077297,0.056126380683277674,0.49452286843591187
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20146520146520147,0.15894039735099338,0.0,0.38525206922498123,0.05908040071923966,0.31400338791643134
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1575091575091575,0.11920529801324503,0.0,0.1008960941240851,0.0,0.05330321852060982
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7294616594842329,0.10082198818391984,0.6164878599661209
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.006622516556291392,0.0,0.899993159586839,0.14359106087849988,0.7760587238848109
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03663003663003663,0.019867549668874173,0.0,0.9573158218756413,0.17916773696378113,0.8390175042348955
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8737943771803817,0.14705882352941174,0.755957086391869
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01098901098901099,0.009933774834437087,0.0,0.6923866201518573,0.12085795016696634,0.5946922642574817
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18315018315018317,0.337748344370861,0.0,0.6304808810452152,0.12766503981505267,0.546583850931677
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8224912784732198,0.14410480349344978,0.7123094297007341
